Time,Destination,Length,Source Port,Second
1.766565442,10.0.0.3,257,17023.0,2
1.766572915,10.0.0.3,257,17023.0,2
1.767955448,10.0.0.6,269,10298.0,2
1.767961119,10.0.0.6,269,10298.0,2
1.707623102,10.0.0.6,265,24505.0,2
1.756057916,10.0.0.7,275,15535.0,2
1.659950281,10.0.0.2,259,29008.0,2
1.596121846,10.0.0.6,276,29401.0,2
1.631985802,10.0.0.8,274,0.0,2
1.631980629,10.0.0.8,274,0.0,2
1.604273565,10.0.0.11,216,15266.0,2
1.604256368,10.0.0.11,216,15266.0,2
1.59613187,10.0.0.6,276,29401.0,2
1.584622784,10.0.0.12,225,15620.0,2
1.584613715,10.0.0.12,225,15620.0,2
1.584032805,10.0.0.2,250,24571.0,2
1.584023787,10.0.0.2,250,24571.0,2
1.583932055,10.0.0.11,215,18475.0,2
1.583917898,10.0.0.11,215,18475.0,2
1.579899156,10.0.0.11,253,15345.0,2
1.659942706,10.0.0.2,259,29008.0,2
1.780087255,10.0.0.5,261,20411.0,2
1.988019001,10.0.0.6,278,17771.0,2
1.787971981,10.0.0.12,241,16897.0,2
1.579885361,10.0.0.11,253,15345.0,2
1.988009619,10.0.0.6,278,17771.0,2
1.987958175,10.0.0.6,271,11438.0,2
1.987863905,10.0.0.6,271,11438.0,2
1.979646989,10.0.0.12,310,0.0,2
1.979642991,10.0.0.12,310,0.0,2
1.979641397,10.0.0.1,240,26970.0,2
1.979628402,10.0.0.1,240,26970.0,2
1.971965889,10.0.0.12,244,26382.0,2
1.971952597,10.0.0.12,244,26382.0,2
1.966915804,10.0.0.3,279,13731.0,2
1.966905337,10.0.0.3,279,13731.0,2
1.958736854,10.0.0.12,251,11408.0,2
1.958721806,10.0.0.12,251,11408.0,2
1.911652817,10.0.0.11,290,28203.0,2
1.91164364,10.0.0.11,290,28203.0,2
1.863964073,10.0.0.10,257,21276.0,2
1.863954459,10.0.0.10,257,21276.0,2
1.856306333,10.0.0.2,253,19782.0,2
1.856292932,10.0.0.2,253,19782.0,2
1.828112464,10.0.0.9,236,23112.0,2
1.828095926,10.0.0.9,236,23112.0,2
1.803808461,10.0.0.11,298,0.0,2
1.803802665,10.0.0.11,298,0.0,2
1.803794232,10.0.0.3,298,0.0,2
1.803780632,10.0.0.3,298,0.0,2
1.787985903,10.0.0.12,241,16897.0,2
1.780091286,10.0.0.5,261,20411.0,2
1.556020907,10.0.0.8,236,27246.0,2
1.328133353,10.0.0.6,230,0.0,2
1.552049534,10.0.0.12,267,0.0,2
1.24790342,10.0.0.1,254,17931.0,2
1.247893189,10.0.0.1,254,17931.0,2
1.199788446,10.0.0.8,265,0.0,2
1.19978416,10.0.0.8,265,0.0,2
1.19183507,10.0.0.3,240,28838.0,2
1.191826952,10.0.0.3,240,28838.0,2
1.191811799,10.0.0.12,255,15670.0,2
1.191801067,10.0.0.12,255,15670.0,2
1.183875179,10.0.0.11,279,0.0,2
1.183870497,10.0.0.11,279,0.0,2
1.176501413,10.0.0.1,251,16190.0,2
1.176493993,10.0.0.1,251,16190.0,2
1.288011769,10.0.0.2,259,28702.0,2
1.175912297,10.0.0.2,290,0.0,2
1.162702058,10.0.0.3,266,13777.0,2
1.162693278,10.0.0.3,266,13777.0,2
1.154937184,10.0.0.7,288,0.0,2
1.154933816,10.0.0.7,288,0.0,2
1.143767068,10.0.0.12,297,0.0,2
1.143764606,10.0.0.12,297,0.0,2
1.116057498,10.0.0.9,303,14065.0,2
1.116047778,10.0.0.9,303,14065.0,2
1.09191937,10.0.0.9,234,12112.0,2
